name,cover,price,author,publisher,isbn,publish_date,pages,path
国外〓合金专题索引,https://a.dushu.com/img/n200.png,¥0.00,上海钢铁研究所革命委员会编,上海钢铁研究所革命委员会,,1969-01-01,236页,中国文学论著集目续编.jpg
技术用纸国外资料题录,https://a.dushu.com/img/n200.png,¥7.00,上海科技情报所等编辑,上海科技情报,,1967-01-01,722页,中国文学论著集目续编.jpg
煤炭书刊资料目录,https://a.dushu.com/img/n200.png,¥0.00,浙江图书馆编,浙江图书馆,,1972-01-01,31页,中国文学论著集目续编.jpg
涤纶片基,https://a.dushu.com/img/n200.png,¥0.00,中国科学技术情报研究所专利馆编,中国科学技术情报研究所专利馆,,1973-01-01,30页,中国文学论著集目续编.jpg
造纸工业,https://a.dushu.com/img/n200.png,¥0.00,南京图书馆编,南京图书馆,,1958-01-01,5页,中国文学论著集目续编.jpg
综合利用科技资料目录,https://a.dushu.com/img/n200.png,¥0.00,吉林市革命委员会科学技术局情报组著,吉林市革命委员会科学技术局情报组,,1972-01-01,21页,中国文学论著集目续编.jpg
馆藏社会科学图书目录,https://a.dushu.com/img/n200.png,¥0.30,山东省图书馆编,山东省图书馆,,1957-01-01,100页,中国文学论著集目续编.jpg
厚古薄今资料索引,https://a.dushu.com/img/n200.png,¥0.00,中国人民大学图书馆编,北京中国人民大学图书馆,,1958-01-01,17页,中国文学论著集目续编.jpg
实用主义教育思想对中国的毒害影响资料目录索引,https://a.dushu.com/img/n200.png,¥0.00,杭州大学教育系资料室编,杭州大学教育系资料室,,1900-01-01,25页,中国文学论著集目续编.jpg
华东师范大学外文书目：教育学,https://a.dushu.com/img/n200.png,¥0.00,华东师范大学图书馆编,华东师范大学图书馆,,1958-01-01,192页,中国文学论著集目续编.jpg
华东师范大学中文书目：教育学,https://a.dushu.com/img/n200.png,¥0.00,华东师范大学图书馆编,华东师范大学图书馆,,1958-01-01,208页,中国文学论著集目续编.jpg
